全国地方公共団体コード,識別値,種別,種別小分類,name,施設名称（カナ）,通称,住所表記,郵便番号,lat,lon,description,連絡先名称,電話番号,Webサイト
23230,KF001,高齢者福祉,福祉施設,日進市中央福祉センター,ニッシンシチュウオウフクシセンター,,愛知県日進市蟹甲町中島22,4700122,35.132729,137.041578,「老人デイサービスセンター」「身体障害者デイサービスセンター」「地域包括支援センター」「ボランティアセンター」「休日急病診療所」を併設する住民福祉の総合拠点です。,中央福祉センター,0561-73-4885,http://www.city.nisshin.lg.jp/fukushi/shogai/chuoufukushicenter.html
23230,KF002,高齢者福祉,特定非営利活動法人,尾張東部成年後見センター,オワリトウブセイネンコウケンセンター,,愛知県日進市竹の山四丁目301　（日進市障害者福祉センター内）,4700136,35.15201565,137.0343415,日進市、瀬戸市、尾張旭市、豊明市、長久手市、東郷町の5市1町が共同で設置している成年後見制度に関する相談窓口です。,尾張東部成年後見センター,0561-75-5008,http://owaritoubu-kouken.net/
23230,KF003,高齢者福祉,地域包括支援センター,日進市中部地域包括支援センター,ニッシンシチュウブチイキホウカツシエンセンター,,愛知県日進市蟹甲町中島22　（日進市中央福祉センター内）,4700122,35.132729,137.041578,高齢者が地域でいつまでも健やかに生活していけるように、社会福祉士等が中心となって、介護・医療・福祉など含め、総合的な支援・相談を行うところです。【担当地区】蟹甲・折戸・栄1丁目・栄2丁目・本郷・岩崎・岩藤・南ヶ丘・東山・藤塚・竹の山,中部地域包括支援センター,0561-73-4890,http://www.city.nisshin.lg.jp/fukushi/kaigohoken/009748.html
23230,KF004,高齢者福祉,地域包括支援センター,日進市東部地域包括支援センター,ニッシンシトウブチイキホウカツシエンセンター,,愛知県日進市米野木町南山987-44　（老人保健施設　愛泉館内）,4700111,35.133009,137.085889,高齢者が地域でいつまでも健やかに生活していけるように、社会福祉士等が中心となって、介護・医療・福祉など含め、総合的な支援・相談を行うところです。【担当地区】藤枝・米野木・米野木台・三本木・藤島・北新・五色園・栄（3～5丁目）,東部地域包括支援センター,0561-74-1300,http://www.city.nisshin.lg.jp/fukushi/kaigohoken/009748.html
23230,KF005,高齢者福祉,地域包括支援センター,日進市西部地域包括支援センター,ニッシンシセイブチイキホウカツシエンセンター,,愛知県日進市浅田平子二丁目20　（特別養護老人ホーム　日進ホーム内）,4700128,35.118691,137.029159,高齢者が地域でいつまでも健やかに生活していけるように、社会福祉士等が中心となって、介護・医療・福祉など含め、総合的な支援・相談を行うところです。【担当地区】赤池・赤池南・浅田・浅田平子・梅森・梅森台・野方・香久山・岩崎台,西部地域包括支援センター,052-806-2637,http://www.city.nisshin.lg.jp/fukushi/kaigohoken/009748.html
23230,KF006,高齢者福祉,社会福祉協議会,日進市社会福祉協議会,ニッシンシシャカイフクシキョウギカイ,,愛知県日進市蟹甲町中島22　（日進市中央福祉センター内）,4700122,35.132729,137.041578,社協は地域の民間福祉活動の拠点として、地域福祉を総合的・計画的に推進することを目的に設立された民間非営利組織です。,日進市社会福祉協議会,0561-73-4885,http://nisshin-shakyo.or.jp/
23230,KOF007,高齢者福祉,シルバー人材センター,日進市シルバー人材センター,ニッシンシシルバージンザイセンター,,愛知県日進市蟹甲町中島267　(日進市高齢者生きがい活動センター内),4700122,35.13256068,137.0404111,健康で働く意欲のある高齢者に就業を提供しています。,日進市シルバー人材センター,0561-74-1758,http://webc.sjc.ne.jp/nissin/
23230,KAF001,介護福祉,認知症高齢者グループホーム,グループホームサンライフハートネス,グループホームサンライフハートネス,,愛知県日進市米野木町追鳥47-1,4700111,35.13332,137.056987,中程度の認知症高齢者が共同生活を送りながら、日常生活の介護や機能訓練を受ける施設です。,サンライフハートネス,0561-72-8461,https://www.sunlife-kaigo.com/
23230,KAF002,介護福祉,認知症高齢者グループホーム,グループホームゆりかご,グループホームユリカゴ,,愛知県日進市北新町南鶯514-1,4700103,35.162287,137.055222,中程度の認知症高齢者が共同生活を送りながら、日常生活の介護や機能訓練を受ける施設です。,ゆりかご,0561-75-0200,
23230,KAF003,介護福祉,認知症高齢者グループホーム,グループホームのどか,グループホームノドカ,,愛知県日進市赤池南二丁目705,4700127,35.115016,137.019115,中程度の認知症高齢者が共同生活を送りながら、日常生活の介護や機能訓練を受ける施設です。,のどか,052-804-9550,http://yuuki-kaigo.com/nodoka/
23230,KAF004,介護福祉,認知症高齢者グループホーム,グループホームむつみ苑,グループホームムツミエン,,愛知県日進市本郷町西原北通871,4700121,35.136295,137.040106,中程度の認知症高齢者が共同生活を送りながら、日常生活の介護や機能訓練を受ける施設です。,むつみ苑,0561-73-0139,http://www.sankasho.com/
23230,KAF005,介護福祉,認知症高齢者グループホーム,グループホームあいわ,グループホームアイワ,,愛知県日進市米野木町南山987-58,4700111,35.13401,137.088281,中程度の認知症高齢者が共同生活を送りながら、日常生活の介護や機能訓練を受ける施設です。,あいわ,0561-75-5641,http://www.sanaifukushikai.jp/service-aiwa-group/
23230,KAF006,介護福祉,特定施設入居者生活介護,ハロリアあいち,ハロリアアイチ,,愛知県日進市北新町南鶯522,4700103,35.161732,137.055529,特定施設の指定を受けた有料老人ホーム等で、入居している方は、施設が提供する介護保険サービスを受けることができます。,ハロリアあいち,0561-73-2331,http://www.haroria.jp/
23230,KAF007,介護福祉,特定施設入居者生活介護,シルバーホームまきば,シルバーホームマキバ,,愛知県日進市米野木町南山987-88,4700111,35.133065,137.087166,特定施設の指定を受けた有料老人ホーム等で、入居している方は、施設が提供する介護保険サービスを受けることができます。,シルバーホームまきば,0561-74-5548,http://www.mb.ccnw.ne.jp/makiba/
23230,KAF008,介護福祉,特定施設入居者生活介護,リバーサイドケア赤池,リバーサイドケアアカイケ,,愛知県日進市赤池町屋下373,4700126,35.125937,137.010895,特定施設の指定を受けた有料老人ホーム等で、入居している方は、施設が提供する介護保険サービスを受けることができます。,リバーサイドケア赤池,052-800-3411,http://www.riverside-care.com/
