全国地方公共団体コード,識別値,name,バス停名（カナ）,lat,lon,備考
23230,001,市役所,シヤクショ,35.13220467,137.0394341,
23230,002,図書館,トショカン,35.13206576,137.042486,
23230,003,浅間下,センゲンシタ,35.13088756,137.0449719,
23230,004,笠寺山,カサデラヤマ,35.1268151,137.045638,
23230,005,日進駅,ニッシンエキ,35.11869436,137.0480203,
23230,006,日進駅南,ニッシンエキミナミ,35.11606939,137.0492031,
23230,007,南ヶ丘北,ミナミガオカキタ,35.11402283,137.0434073,
23230,008,南ヶ丘南,ミナミガオカミナミ,35.11139985,137.0415455,
23230,009,藤塚六丁目,フジツカロクチョウメ,35.11171782,137.036693,
23230,010,高松池,タカマツイケ,35.11480604,137.0406254,
23230,011,鎌ヶ寿,カマガス,35.12292086,137.0403735,
23230,012,藤塚,フジツカ,35.12378324,137.0347574,
23230,013,上ノ山,ウエノヤマ,35.12518601,137.0286989,
23230,014,浅田区民会館,アサダクミンカイカン,35.12469102,137.0240962,
23230,015,平子,ヒラコ,35.12179047,137.0252287,
23230,016,箕ノ手北,ミノテキタ,,,平成29年秋以降
23230,017,赤池駅南,アカイケエキミナミ,35.12024854,137.0195528,
23230,018,赤池駅,アカイケエキ,35.12125081,137.0184716,
23230,019,赤池小学校,アカイケショウガッコウ,35.11852804,137.0173548,
23230,020,赤池南一丁目,アカイケミナミイッチョウメ,35.11774279,137.0195002,
23230,021,箕ノ手西,ミノテニシ,,,平成29年秋以降
23230,022,箕ノ手中央,ミノテチュウオウ,35.11296495,137.0255353,
23230,023,箕ノ手東,ミノテヒガシ,35.11257175,137.0284422,
23230,024,平子南,ヒラコミナミ,35.11587268,137.0303337,
23230,025,藤塚南,フジツカミナミ,35.11934911,137.0386541,
23230,026,折戸病院,オリドビョウイン,35.12368333,137.0419617,
23230,027,市役所東,シヤクショヒガシ,35.13257394,137.0405075,
23230,028,日生東山,ニッセイヒガシヤマ,35.1265629415995,137.04937502412,
23230,029,寺脇,テラワキ,35.1227420397258,137.047437611992,
23230,030,東山グランド,ヒガシヤマグランド,35.1228764817102,137.052722440186,
23230,031,日東東山,ニットウヒガシヤマ,35.1250870425095,137.053603715584,
23230,032,日東東山北,ニットウヒガシヤマキタ,35.1261025304214,137.056540576433,
23230,033,橦木北,シュモクキタ,35.1226403893776,137.0586276852,
23230,034,栄,サカエ,35.1212776500247,137.053866812563,
23230,035,栄,サカエ,35.1212113683916,137.052684054227,
23230,036,日進団地,ニッシンダンチ,35.1237590579419,137.062080179973,
23230,037,米野木台二丁目,コメノキダイニチョウメ,35.1252809641324,137.064167772829,
23230,038,福成,フクナリ,35.1305895000794,137.06401759612,
23230,039,宮西,ミヤニシ,35.1366791194783,137.060189462937,
23230,040,藤島,フジシマ,35.1402444429663,137.056943161013,
23230,041,藤島小万場,フジシマコマンバ,35.1402815832426,137.055165953667,
23230,042,東中学校,ヒガシチュウガッコウ,35.1343618038454,137.054741783403,
23230,043,東部福祉会館北,トウブフクシカイカンキタ,35.1349220370512,137.060737460424,
23230,044,本米野木,モトコメノキ,35.1308875888008,137.065816779805,
23230,045,米野木駅,コメノキエキ,35.1241747363248,137.066804087591,
23230,046,日進団地,ニッシンダンチ,35.1235973443081,137.061879929432,
23230,047,橦木北,シュモクキタ,35.1230760281274,137.058690307913,
23230,048,日東東山北,ニットウヒガシヤマキタ,35.1260226003253,137.057569333371,
23230,049,平子台,ヒラコダイ,35.1286743846398,137.056546879893,
23230,050,米野木西,コメノキニシ,35.131787214635,137.056074250489,
23230,051,藤枝,フジエダ,35.1316810838406,137.049704995872,
23230,052,図書館,トショカン,35.1320613841699,137.042434574881,
23230,053,中央福祉センター,チュウオウフクシセンター,35.1330485415361,137.041884744692,
23230,054,藤枝,フジエダ,35.1319102468913,137.051034382206,
23230,055,米野木西,コメノキニシ,35.1318192028639,137.055763670289,
23230,056,米野木,コメノキ,35.1324376382627,137.062722752859,
23230,057,米野木東仲,コメノキヒガシナカ,35.13288175699,137.066000865099,
23230,058,丸山,マルヤマ,35.1344665039962,137.071457190358,
23230,059,柿ノ木,カキノキ,35.1372482768588,137.074224718356,
23230,060,三本木,サンボンギ,35.1397651923,137.0787881984,
23230,061,日進ニュータウン,ニッシンニュータウン,35.1446554699213,137.077909021874,
23230,062,三本木区民会館,サンボンギクミンカイカン,35.1417102658063,137.081709459824,
23230,063,上川田,カミカワダ,35.1443488537138,137.085043472355,
23230,064,三ヶ峯,サガミネ,35.1457104981892,137.096099439378,
23230,065,名商大,メイショウダイ,35.1474753692716,137.093980042698,
23230,066,上川田,カミカワダ,35.1433205866008,137.083743791274,
23230,067,三本木区民会館,サンボンギクミンカイカン,35.1416343351919,137.081797662807,
23230,068,三本木,サンボンギ,35.1396406690988,137.078867565148,
23230,069,南山エピック北,ミナミヤマエピックキタ,35.1372058882536,137.081709969543,
23230,070,南山エピック,ミナミヤマエピック,35.1353665181226,137.084255102385,
23230,071,南山エピック南,ミナミヤマエピックミナミ,35.1326299262131,137.084713135751,
23230,072,愛知牧場西,アイチボクジョウニシ,35.1308056636168,137.08275059423,
23230,073,下五反田,シモゴタンダ,35.1328161814806,137.069149478109,
23230,074,米野木東仲,コメノキヒガシナカ,35.1327440425158,137.065708929011,
23230,075,東中学校,ヒガシチュウガッコウ,35.1344885172747,137.05707532195,
23230,076,本郷,ホンゴウ,35.1334397162861,137.04592329255,
23230,077,白山,ハクサン,35.13898586,137.0446197,
23230,078,保健センター北,ホケンセンターキタ,35.140040730596,137.040908241476,
23230,079,畔道,アゼミチ,35.1389658212391,137.03712573236,
23230,080,北高上,キタコウジョウ,35.1381238295304,137.034174653452,
23230,081,南高上,ミナミコウジョウ,35.1368057694062,137.026988355305,
23230,082,香久山東,カグヤマヒガシ,35.1416512221623,137.031007116997,
23230,083,岩崎台・香久山福祉会館,イワサキダイ・カグヤマフクシカイカン,35.1432921253887,137.029557396926,
23230,084,香久山中,カグヤマナカ,35.1432276714212,137.027815512448,
23230,085,香久山,カグヤマ,35.1422851030052,137.026553077462,
23230,086,南高上,ミナミコウジョウ,35.1372407889385,137.026969834795,
23230,087,新田,シンデン,35.1343235683926,137.01940615644,
23230,088,日生梅森園前,ニッセイウメモリエンマエ,35.1357402976161,137.016327827031,
23230,089,日生梅森園,ニッセイウメモリエン,35.1361272352064,137.018699500338,
23230,090,東名古屋病院,ヒガシナゴヤビョウイン,35.1398228375368,137.015565851707,
23230,091,梅森,ウメモリ,35.1337977874074,137.014689353647,
23230,092,梅森台,ウメモリダイ,35.1363625515924,137.010818464398,
23230,093,梅森台中,ウメモリダイナカ,35.1357987307915,137.010008592465,
23230,094,梅森台西,ウメモリダイニシ,35.1340287232113,137.010632963408,
23230,095,梅森西,ウメモリニシ,35.1298999950452,137.011910937813,
23230,096,平針北,ヒラバリキタ,35.1248729600202,137.009051023969,
23230,097,西部福祉会館,セイブフクシカイカン,35.1246766096126,137.014184576543,
23230,098,赤池駅北,アカイケエキキタ,35.1219204844177,137.019492776065,
23230,099,生涯学習プラザ,ショウガイガクシュウプラザ,35.125202002972,137.022530765566,
23230,100,浅田北,アサダキタ,35.1274615069147,137.023222986494,
23230,101,野方公民館,ノカタコウミンカン,35.1300532118105,137.02891826066,
23230,102,本郷,ホンゴウ,35.13352123,137.0458586,
23230,103,岩藤東,イワフジヒガシ,35.1462846,137.0541674,
23230,104,七ツ塚,ナナツヅカ,35.14670931,137.0583613,
23230,105,夏焼,ナツヤケ,35.14700824,137.0629068,
23230,106,総合運動公園西,ソウゴウウンドウコウエンニシ,35.14860276,137.0663777,
23230,107,五色園,ゴシキエン,35.15118691,137.0661134,
23230,108,かえで台,カエデダイ,35.15296086,137.0614212,
23230,109,かえで台西,カエデダイニシ,35.15505478,137.056789,
23230,110,北新町,キタシンチョウ,35.1598801,137.0544659,
23230,111,愛知学院大東,アイチガクインダイヒガシ,35.16351489,137.0525971,
23230,112,口論義運動公園,コウロギウンドウコウエン,35.16635226,137.0507685,
23230,113,長久手古戦場駅,ナガクテコセンジョウエキ,35.1718358,137.0489301,
23230,114,愛知学院大東,アイチガクインダイヒガシ,35.16353447,137.0527119,
23230,115,北新町,キタシンチョウ,35.15917777,137.0545522,
23230,116,相野山福祉会館,アイノヤマフクシカイカン,35.15523523,137.0573573,
23230,117,つばき台,ツバキダイ,35.15783684,137.0600159,
23230,118,かえで台北,カエデダイキタ,35.15520579,137.0623102,
23230,119,かえで台,カエデダイ,35.15282057,137.0619103,
23230,120,五色園,ゴシキエン,35.15125751,137.0661298,
23230,121,五色園南,ゴシキエンミナミ,35.15122076,137.0712882,
23230,122,五色園東,ゴシキエンヒガシ,35.15185359,137.0689273,
23230,123,総合運動公園西,ソウゴウウンドウコウエンニシ,35.1487914,137.0664428,
23230,124,夏焼,ナツヤケ,35.1468873,137.0621069,
23230,125,七ツ塚,ナナツヅカ,35.14663477,137.0582713,
23230,126,岩藤東,イワフジヒガシ,35.14687227,137.0551546,
23230,127,藤島,フジシマ,35.14013355,137.0572262,
23230,128,宮西,ミヤニシ,35.13658867,137.060361,
23230,129,保健センター東,ホケンセンターヒガシ,35.13729423,137.042526,
23230,130,御岳口,オンタケグチ,35.14215233,137.0425233,
23230,131,六坊,ロクボウ,35.1476259,137.0401293,
23230,132,弁天池南,ベンテンイケミナミ,35.14858683,137.0389062,
23230,133,岩根,イワネ,35.14897598,137.0328857,
23230,134,芦廻間,ヨシハザマ,35.14825402,137.0305519,
23230,135,岩崎台東,イワサキダイヒガシ,35.14940437,137.0269921,
23230,136,岩崎台,イワサキダイ,35.1511767,137.0274507,
23230,137,けやき公園,ケヤキコウエン,35.15213636,137.0244808,
23230,138,岩崎台西,イワサキダイニシ,35.14939815,137.021398,
23230,139,岩崎台南,イワサキダイミナミ,35.14742804,137.0208779,
23230,140,石神,イシガミ,35.14667956,137.0251328,
23230,141,芦廻間,ヨシハザマ,35.14831627,137.0303528,
23230,142,岩根,イワネ,35.14907349,137.0328605,
23230,143,北部保育園,ホクブホイクエン,35.150621,137.0349953,
23230,144,障害者福祉センター,ショウガイシャフクシセンター,35.15200825,137.0345898,
23230,145,椙山女学園大,スギヤマジョガクエンダイ,35.15300006,137.0342843,
23230,146,竹の山中,タケノヤマナカ,35.15598848,137.038584,
23230,147,名外大・名学芸大前,メイガイダイ・メイガクゲイダイマエ,35.15780187,137.0396441,
23230,148,名外大・名学芸大東,メイガイダイ・メイガクゲイダイヒガシ,35.15637076,137.0429027,
23230,149,グリーンハイツ,グリーンハイツ,35.15435068,137.0403423,
23230,150,弁天池,ベンテンイケ,35.15146868,137.0393334,
23230,151,六坊,ロクボウ,35.14752641,137.040503,
23230,152,北部福祉会館北,ホクブフクシカイカンキタ,35.14434894,137.0426459,
23230,153,岩崎橋西,イワサキバシニシ,35.14575427,137.045738,
23230,154,御岳,オンタケ,35.14992918,137.0471253,
23230,155,小林,コバヤシ,35.14811618,137.047121,
23230,156,岩崎橋東,イワサキバシヒガシ,35.14538473,137.0470679,
23230,157,岩藤西,イワフジニシ,35.14707478,137.0509698,
23230,158,岩藤,イワフジ,35.14824427,137.0536911,
23230,159,藤島公会堂,フジシマコウカイドウ,35.14025565,137.0526802,
23230,160,折戸,オリド,35.1206182640647,137.044144967598,
23230,161,市民会館,シミンカイカン,35.1280617173101,137.041376203917,
