全国地方公共団体コード,識別値,種別,name,施設名称（カナ）,通称,住所表記,郵便番号,lat,lon,連絡先名称,電話番号,description,診療科目
23230,IR001,医療,休日急病診療所,キュウジツキュウビョウシンリョウジョ,,愛知県日進市蟹甲町中島22（中央福祉センター内）,4700122,35.1328386,137.0413222,休日急病診療所,0561-73-7555,,
23230,IR002,医療,愛知国際病院,アイチコクサイビョウイン,,愛知県日進市米野木町南山987-31,4700111,35.1335476,137.0868732,愛知国際病院,0561-73-7721,http://aisen-kai.jp/,
23230,IR003,医療,あかいけ好日こころのクリニック,アカイケコウジツココロノクリニック,,愛知県日進市赤池一丁目3001第25オーシャンプラザ3F,4700125,35.121036,137.019180,あかいけ好日こころのクリニック,052-808-3800,http://koujitsu-kokoro.com/,
23230,IR004,医療,アガペクリニック,アガペクリニック,,愛知県日進市折戸町孫三ヶ入61,4700115,35.12064689,137.0428602,アガペクリニック,0561-74-3000,http://agape-cl.org/index.html,
23230,IR005,医療,いしやま内科クリニック,イシヤマナイカクリニック,,愛知県日進市浅田町西前田301,4700124,35.125935,137.02135,いしやま内科クリニック,052-806-6001,http://www.in-cl.com/,
23230,IR006,医療,いせき内科クリニック,イセキナイカクリニック,,愛知県日進市栄三丁目1311,4700113,35.121375,137.05272,いせき内科クリニック,0561-72-6555,http://www.iseki-naika.com/,
23230,IR007,医療,いわさき耳鼻咽喉科,イワサキジビインコウカ,,愛知県日進市竹の山二丁目2110,4700136,35.158153,137.035655,いわさき耳鼻咽喉科,0561-75-4187,http://www.myclinic.ne.jp/iwasaki_cl/pc/,
23230,IR008,医療,岩瀬皮フ科,イワセヒフカ,,愛知県日進市折戸町高松52-104,4700115,35.11566082,137.0424774,岩瀬皮フ科,0561-73-3883,http://www.myclinic.ne.jp/diwase/pc/,
23230,IR009,医療,うかい医院,ウカイイイン,,愛知県日進市東山四丁目621-2,4700116,35.12590679,137.0502363,うかい医院,0561-74-1551,http://www.ukai-iin.com/,
23230,IR010,医療,梅森クリニック,ウメモリクリニック,,愛知県日進市梅森台五丁目75,4700133,35.13230984,137.0113395,梅森クリニック,052-801-0800,-,
23230,IR011,医療,大口医院,オオグチイイン,,愛知県日進市香久山五丁目1801MiO香久山2階,4700134,35.1424779,137.026775,大口医院,052-807-5111,http://ohguchiclinic.com/,
23230,IR012,医療,おかざき皮フ科,オカザキヒフカ,,愛知県日進市蟹甲町池下279-1,4700122,35.132176,137.038605,おかざき皮フ科,0561-41-8182,-,
23230,IR013,医療,かぐやま眼科,カグヤマガンカ,,愛知県日進市香久山五丁目1801MiO香久山2階,4700134,35.142476,137.0270354,かぐやま眼科,052-807-5811,-,
23230,IR014,医療,香久山こどもクリニック,カグヤマコドモクリニック,,愛知県日進市香久山四丁目1105-1,4700134,35.14686106,137.0264078,香久山こどもクリニック,052-800-8001,http://www.kg-kids.jp/,
23230,IR015,医療,カグヤマ耳鼻咽喉科,カグヤマジビインコウカ,,愛知県日進市香久山二丁目2104,4700134,35.14260544,137.0252797,カグヤマ耳鼻咽喉科,052-800-3781,-,
23230,IR016,医療,かさしま耳鼻咽喉科クリニック,カサシマジビインコウカクリニック,,愛知県日進市栄四丁目103,4700113,35.12098682,137.0525955,かさしま耳鼻咽喉科クリニック,0561-72-8733,http://www.kasashima.jp/e/index.htm,
23230,IR017,医療,金山クリニック,カナヤマクリニック,,愛知県日進市藤塚三丁目565,4700117,35.118991,137.036959,金山クリニック,0561-72-7111,http://www.k-cl.net/,
