全国地方公共団体コード,識別値,description,避難所種別小分類,name,避難所施設名（カナ）,通称,住所表記,郵便番号,lat,lon,説明,連絡先名称,電話番号,担当課,担当課連絡先,対象地区,災害種別,屋内収容可能人数,屋外収容可能人数,備考,救護設備,備蓄倉庫,給水設備,炊事設備,発電設備,風呂,トイレ,その他設備
23230,HSK001,指定緊急避難場所,一時避難場所,日生梅森園集会所,ニッセイウメモリエンシュウカイジョ,,愛知県日進市梅森町新田135-127,4700132,35.136114,137.018578,地震災害時、一時的に安全を確保する目的で避難する場所です。,日生梅森園集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK002,指定緊急避難場所,一時避難場所,野方北集会所,ノカタキタシュウカイジョ,,愛知県日進市岩崎町北高上210,4700131,35.136651,137.030574,地震災害時、一時的に安全を確保する目的で避難する場所です。,野方北集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK003,指定緊急避難場所,一時避難場所,野方三ツ池公園交流館,ノカタミツイケコウエンコウリュウカン,,愛知県日進市折戸町定納189-1,4700115,35.127241,137.033827,地震災害時、一時的に安全を確保する目的で避難する場所です。,野方三ツ池公園交流館,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK004,指定緊急避難場所,一時避難場所,藤塚集会所,フジツカシュウカイジョ,,愛知県日進市藤塚三丁目320,4700117,35.120998,137.036221,地震災害時、一時的に安全を確保する目的で避難する場所です。,藤塚集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK005,指定緊急避難場所,一時避難場所,三井団地集会所,ミツイダンチシュウカイジョ,,愛知県日進市藤塚六丁目27,4700117,35.115138,137.034161,地震災害時、一時的に安全を確保する目的で避難する場所です。,三井団地集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK006,指定緊急避難場所,一時避難場所,橦木団地集会所,シュモクダンチシュウカイジョ,,愛知県日進市藤枝町奥廻間1192-98,4700112,35.122536,137.059838,地震災害時、一時的に安全を確保する目的で避難する場所です。,橦木団地集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK007,指定緊急避難場所,一時避難場所,日進団地集会所,ニッシンダンチシュウカイジョ,,愛知県日進市藤枝町奥廻間1237-133,4700112,35.124557,137.060857,地震災害時、一時的に安全を確保する目的で避難する場所です。,日進団地集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK008,指定緊急避難場所,一時避難場所,日進ニュータウン集会所,ニッシンニュータウンシュウカイジョ,,愛知県日進市三本木町廻間111-28,4700101,35.142942,137.078619,地震災害時、一時的に安全を確保する目的で避難する場所です。,日進ニュータウン集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK009,指定緊急避難場所,一時避難場所,南山エピック集会所,ミナミヤマエピックシュウカイジョ,,愛知県日進市米野木町南山973-47,4700111,35.135820,137.082794,地震災害時、一時的に安全を確保する目的で避難する場所です。,南山エピック集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK010,指定緊急避難場所,一時避難場所,三ヶ峯台集会所,サガミネダイシュウカイジョ,,愛知県日進市米野木町三ケ峯4-345,4700111,35.145665,137.095998,地震災害時、一時的に安全を確保する目的で避難する場所です。,三ヶ峯台集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK011,指定緊急避難場所,一時避難場所,芦廻間集会所,ヨシハサマシュウカイジョ,,愛知県日進市岩崎町芦廻間112-776,4700131,35.151510,137.030754,地震災害時、一時的に安全を確保する目的で避難する場所です。,芦廻間集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK012,指定緊急避難場所,一時避難場所,御岳集会所,ミタケシュウカイジョ,,愛知県日進市岩崎町元井ゲ17-2,4700131,35.150030,137.046616,地震災害時、一時的に安全を確保する目的で避難する場所です。,御岳集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK013,指定緊急避難場所,一時避難場所,梅ノ木集会所,ウメノキシュウカイジョ,,愛知県日進市岩崎町梅ノ木11-4,4700131,35.144290,137.048209,地震災害時、一時的に安全を確保する目的で避難する場所です。,梅ノ木集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK014,指定緊急避難場所,一時避難場所,竹ノ山集会所,タケノヤマシュウカイジョ,,愛知県日進市竹の山三丁目705,4700136,35.151182,137.038839,地震災害時、一時的に安全を確保する目的で避難する場所です。,竹ノ山集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK015,指定緊急避難場所,一時避難場所,日進グリーンハイツ集会所,ニッシングリーンハイツシュウカイジョ,,愛知県日進市岩崎町竹ノ山149-330,4700131,35.154905,137.040742,地震災害時、一時的に安全を確保する目的で避難する場所です。,日進グリーンハイツ集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK016,指定緊急避難場所,一時避難場所,五色園第1集会所,ゴシキエンダイイチシュウカイジョ,,愛知県日進市五色園一丁目1802,4700105,35.151073,137.066675,地震災害時、一時的に安全を確保する目的で避難する場所です。,五色園第1集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK017,指定緊急避難場所,一時避難場所,日生東山園集会所,ニッセイヒガシヤマエンシュウカイジョ,,愛知県日進市東山一丁目307,4700116,35.128560,137.045840,地震災害時、一時的に安全を確保する目的で避難する場所です。,日生東山園集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK018,指定緊急避難場所,一時避難場所,平子台自治集会所,ヒラコダイジチシュウカイジョ,,愛知県日進市東山七丁目616,4700116,35.128500,137.054813,地震災害時、一時的に安全を確保する目的で避難する場所です。,平子台自治集会所,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK019,指定緊急避難場所,一時避難場所,日進中学校第2グラウンド,ニッシンチュウガッコウダイニグラウンド,,愛知県日進市岩崎町兼場96-1,4700131,35.138564,137.041461,地震災害時、一時的に安全を確保する目的で避難する場所です。,日進中学校第2グラウンド,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK020,指定緊急避難場所,一時避難場所,北小学校・日進北中学校青葉分校運動場,キタショウガッコウ・ニッシンキタチュウガッコウアオバブンコウウンドウジョウ,,愛知県日進市岩崎町竹ノ山149-164,4700131,35.154437,137.039686,地震災害時、一時的に安全を確保する目的で避難する場所です。,北小学校・日進北中学校青葉分校運動場,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK021,指定緊急避難場所,一時避難場所,名古屋商科大学校庭,ナゴヤショウカダイガクコウテイ,,愛知県日進市米野木町三ヶ峯4-4 ,4700111,35.154838,137.092833,地震災害時、一時的に安全を確保する目的で避難する場所です。,名古屋商科大学校庭,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
23230,HSK022,指定緊急避難場所,一時避難場所,椙山女学園大学日進グラウンド,スギヤマジョガクエンダイガクニッシングラウンド,,愛知県日進市竹の山三丁目2005,4700136,35.152527,137.035166,地震災害時、一時的に安全を確保する目的で避難する場所です。,椙山女学園大学日進グラウンド,,危機管理課,0561-73-3279,,地震,,,,,,,,,,,
